0,1,2,3,4,5,6,7
,,DRO,Durango-La Plata County,Durango,CO,Checkpoint,39
,,DSM,Des Moines International,Des Moines,IA,DSM Passenger (Alpha),594
,,DTW,Detroit Metropolitan Wayne County,Detroit,MI,Blue-1,465
,,,,,,Blue-2,546
,,,,,,Red 1,100
,,,,,,Red 2,71
,,,,,,Red 3,168
,,EAT,Pangborn Memorial,East Wenatchee,WA,EAT Main,29
,,ECP,Northwest Florida Beaches International,West Bay,FL,Checkpoint 1,70
,,ELM,Elmira/Corning Regional,Horseheads,NY,Main Checkpoint,8
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,707
,,ERI,Erie International/Tom Ridge Field,Erie,PA,Main Terminal,10
,,EUG,Mahlon Sweet Field,Eugene,OR,EUGZ,516
,,EVV,Evansville Regional,Evansville,IN,Main Checkpoint,59
,,EWN,Coastal Carolina Regional,New Bern,NC,Terminal,2
,,EWR,Newark Liberty International,Newark,NJ,CKPT-A1,"1,518"
,,,,,,CKPT-B1,275
,,,,,,CKPT-B2,32
,,,,,,CKPT-B3,2
,,,,,,CKPT-C1,905
,,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,18
,,FAR,Hector International,Fargo,ND,Gate,178
,,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,480
,,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,Terminal,89
,,FLG,Flagstaff Pulliam,Flagstaff,AZ,FLG01,28
,,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,T1 Checkpoint,771
,,,,,,T2 Checkpoint,365
,,,,,,T3E Checkpoint,296
,,,,,,T3F Checkpoint,338
,,,,,,T4 Checkpoint,370
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
10/22/2023,04:00,FNT,Bishop International,Flint,MI,AOO-01,2
,,FSD,Joe Foss Field,Sioux Falls,SD,Gate,222
,,FWA,Fort Wayne International,Ft. Wayne,IN,Gate,45
,,GCC,Northeast Wyoming Regional,Gillette,WY,GCC 01,27
,,GCK,Garden City Regional,Garden City,KS,GCK-1,25
,,GEG,Spokane International,Spokane,WA,GEG-A/B,435
,,,,,,GEGC,350
,,GFK,Grand Forks International,Grand Forks,ND,Gate,61
,,GGG,East Texas Regional,Longview,TX,GGGA,6
,,GJT,Grand Junction Regional,Grand Junction,CO,GJTZ,48
,,GNV,Gainesville Regional,Gainesville,FL,GNV A,50
,,GPI,Glacier Park International,Kalispell,MT,Main Checkpoint,199
,,GPT,Gulfport-Biloxi International,Gulfport,MS,GPT-A,215
,,GRB,Green Bay/Austin Straubel International,Green Bay,WI,Concourse A,23
,,,,,,Concourse B,103
