0,1,2,3,4,5,6,7
,,,,,,D/E Checkpoint,"1,046"
,,BZN,Bozeman Yellowstone International,Belgrade,MT,BZNZ,205
,,CAE,Columbia Metropolitan,West Columbia,SC,CAE-A,132
,,CAK,Akron-Canton Regional,North Canton,OH,Main,42
,,CHA,Chattanooga Metropolitan,Chattanooga,TN,CHA-A,211
,,CHO,Charlottesville/Albemarle,Charlottesville,VA,CHO - Checkpoint,136
,,CHS,Charleston County International/AFB,Charleston,SC,Checkpoint,785
,,CID,The Cedar Rapids,Cedar Rapids,IA,CID Passenger,229
,,CLE,Cleveland Hopkins International,Cleveland,OH,Central,448
,,,,,,North,283
,,,,,,South,607
,,CLT,Charlotte/Douglas International,Charlotte,NC,A Checkpoint,279
,,,,,,C Checkpoint,228
,,,,,,D Checkpoint,38
,,,,,,E Checkpoint,118
,,CMH,John Glenn Columbus International Airport,Columbus,OH,A,409
,,,,,,B,563
,,,,,,C,260
,,COS,Colorado Springs Municipal,Colorado Springs,CO,COS Checkpoint,359
,,COU,Columbia Regional,Columbia,MO,Gate 1 Hold Area,81
,,CPR,Natrona County International,Casper,WY,CPR 01,42
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
6/25/2023,04:00,CRP,Corpus Christi,Corpus Christi,TX,CRP01,137
,,CRW,Yeager,Charleston,WV,CRW01,17
,,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,T3-MCP,"1,106"
,,CWA,Central Wisconsin Regional,Mosinee,WI,Checkpoint,32
,,DAB,Daytona Beach International,Daytona Beach,FL,DAB A,110
,,DAL,Dallas Love Field,Dallas,TX,Checkpoint,"1,284"
,,DAY,James M. Cox Dayton International,Dayton,OH,Main,172
,,DCA,Washington Reagan National,Arlington,VA,Concourse A,338
,,,,,,North Checkpoint,393
,,,,,,South Checkpoint,393
,,DEN,Denver International,Denver,CO,A Bridge,662
,,,,,,North,"1,552"
,,,,,,South,"2,159"
,,DFW,Dallas/Fort Worth International,DFW Airport,TX,A12,27
,,,,,,A21,346
,,,,,,A35,22
,,,,,,B30,24
,,,,,,B9,26
,,,,,,C10,63
,,,,,,C21,341
,,,,,,C30,78
,,,,,,D18,312
,,,,,,D30,75
,,,,,,E16,181
,,,,,,E18,473
,,,,,,E33,370
,,,,,,E8,482
,,DLH,Duluth International,Duluth,MN,Checkpoint 1,86
,,DRO,Durango-La  Plata County,Durango,CO,Checkpoint,32
,,DSM,Des Moines International,Des Moines,IA,DSM Passenger (Alpha),526
,,DTW,Detroit Metro Wayne County,Detroit,MI,Blue-1,392
,,,,,,Blue-2,496
,,,,,,Red 1,134
,,,,,,Red 2,64
,,,,,,Red 3,134
,,ECP,Northwest Florida Beaches International Airport,West Bay,FL,Checkpoint 1,148
,,ELM,Elmira-Corning Regional,Horseheads,NY,Main Checkpoint,9
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,612
,,ERI,Erie International,Erie,PA,Main Terminal,8
,,EUG,Mahlon Sweet Field (Eugene),Eugene,OR,EUGZ,207
,,EVV,Evansville Regional,Evansville,IN,Main Checkpoint,72
,,EWN,Coastal Carolina,New Bern,NC,Terminal,47
,,EWR,Newark International,Newark,NJ,CKPT-A1,"1,540"
,,,,,,CKPT-B1,389
,,,,,,CKPT-B2,1
,,,,,,CKPT-B3,72
,,,,,,CKPT-C1,"1,220"
,,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,17
,,FAR,Hector International,Fargo,ND,Gate,129
,,FAT,Fresno Air Terminal,Fresno,CA,FAT 01,260
,,FAY,Fayetteville Regional,Fayetteville,NC,Terminal,127
,,FLG,Flagstaff Pulliam,Flagstaff,AZ,FLG01,20
,,FLL,Ft. Lauderdale-Hollywood International,Fort Lauderdale,FL,T1 Checkpoint,915
,,,,,,T2 Checkpoint,329
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
6/25/2023,04:00,FLL,Ft. Lauderdale-Hollywood International,Fort Lauderdale,FL,T3E Checkpoint,380
,,,,,,T3F Checkpoint,522
,,,,,,T4 Checkpoint,237
,,FLO,Florence Regional,Florence,SC,Terminal,49
,,FNT,Bishop International,Flint,MI,AOO-01,13
,,FSD,Sioux Falls Regional,Sioux Falls,SD,Gate,323
,,FSM,Fort Smith Municipal,Ft Smith,AR,FSMA,17
,,FWA,Ft. Wayne Municipal Airport,Ft. Wayne,IN,Gate,43
,,GCC,Gillette-Campbell County,Gillette,WY,GCC 01,23
,,GCK,Garden City Regional,Garden City,KS,GCK-1,23
,,GEG,Spokane International,Spokane,WA,GEG-A/B,424
,,,,,,GEGC,259
,,GFK,Grand Forks International,Grand Forks,ND,Gate,64
,,GGG,East Texas Regional,Longview,TX,GGGA,20
