0,1,2,3,4,5,6,7
,,,,,,GEGC,61
,,GFK,Grand Forks International,Grand Forks,ND,Gate,54
,,GRK,Robert Gray AAF,Killeen,TX,GRK02,63
,,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,107
,,GSP,Greenville Spartanburg International,Greer,SC,Checkpoint,28
,,GUM,Guam International,Tamuning,GU,GUM01,74
,,HOU,William P Hobby,Houston,TX,CENTRAL,214
,,HRL,Valley International,Harlingen,TX,HRL01,34
,,IAD,Washington Dulles International,Dulles,VA,East Mezzanine,39
,,,,,,Passenger Screening Area:  PreCheck,284
,,IAH,George Bush Intercontinental/Houston,Houston,TX,10/AN Terminal,225
,,,,,,12/AS Terminal,153
,,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,Wichita Main,95
,,ILM,Wilmington International,Wilmington,NC,Terminal,63
,,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,91
,,,,,,Checkpoint B,139
,,ISP,Long Island Mac Arthur,Ronkonkoma,NY,ISP East,27
,,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,13
,,JFK,John F Kennedy International,Jamaica,NY,Terminal 1,4
,,,,,,Terminal 4 Main,389
,,,,,,Terminal 5,548
,,,,,,Terminal 7,0
,,,,,,Terminal 8,246
,,JNU,Juneau International,Juneau,AK,JNU-01,32
,,LAS,Harry Reid International,Las Vegas,NV,Term 1 - AB,414
,,,,,,Term 1 - C,46
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
7/30/2023,03:00,LAS,Harry Reid International,Las Vegas,NV,Term 1 - CX,495
,,,,,,Term 1 - D,475
,,,,,,Terminal 3 - E Upper,153
,,LAX,Los Angeles International,Los Angeles,CA,Terminal 1 - Passenger,160
,,,,,,Terminal 1.5 – Passenger,207
,,,,,,Terminal 3 - Passenger,145
,,,,,,Terminal 4 - Passenger,96
,,,,,,Terminal 5 - Passenger,138
,,,,,,Terminal 7 - Passenger,64
,,LBB,Lubbock Preston Smith International,Lubbock,TX,LBBA,40
,,LGA,LaGuardia,Flushing,NY,TA CHK,44
,,,,,,TB-CHK,421
,,,,,,TC CHK West,163
,,LGB,Long Beach (Daugherty Field),Long Beach,CA,Checkpoint,0
,,MAF,Midland International Air And Space Port,Midland,TX,MAFA,35
,,MBS,MBS International,Freeland,MI,Passenger Terminal,0
,,MCI,Kansas City International,Kansas City,MO,Passenger Screening Checkpoint,407
,,MCO,Orlando International,Orlando,FL,EAST Checkpoint,97
,,,,,,SOUTH Checkpoint,183
,,,,,,WEST Checkpoint,508
,,MDT,Harrisburg International,Middletown,PA,MDT Main Terminal,7
,,MDW,Chicago Midway International,Chicago,IL,Main Checkpoint,443
,,MEM,Memphis International,Memphis,TN,MEM-B,86
,,MFE,Mc Allen Miller International,McAllen,TX,MFE01,0
,,MFR,Rogue Valley International - Medford,Medford,OR,MFRZ,135
,,MHT,Manchester Boston Regional,Manchester,NH,Checkpoint,52
,,MIA,Miami International,Miami,FL,Central-FA-Upper,37
,,,,,,Central-G,143
,,,,,,North 2,196
,,,,,,South-J1,136
,,MKE,General Mitchell International,Milwaukee,WI,CONC C,130
,,,,,,CONC D,26
,,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,North CP,83
,,,,,,South CP,248
,,,,,,T2 CP1,100
,,MSY,Louis Armstrong New Orleans International,Kenner,LA,MSY01,341
,,OAK,Metropolitan Oakland International,Oakland,CA,TERM1,91
,,,,,,TERM2,261
,,OKC,Will Rogers World,Oklahoma City,OK,Main Checkpoint,281
,,ONT,Ontario International,Ontario,CA,T2,197
,,,,,,T4,5
,,ORD,Chicago O'Hare International,Chicago,IL,1,121
,,,,,,10,74
,,,,,,4B,54
,,,,,,5,28
,,,,,,6A,71
,,,,,,7,90
,,,,,,7A,128
,,,,,,9,213
,,PDX,Portland International,Portland,OR,PDX A/B/C,168
,,,,,,PDX D/E,345
,,PHL,Philadelphia International,Philadelphia,PA,Checkpoint B,210
,,,,,,Checkpoint D\E,566
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-3 North,234
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
7/30/2023,03:00,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-4 A,340
,,,,,,T-4 C,290
,,,,,,T-4 D,132
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,242
,,PNS,Pensacola International,Pensacola,FL,PNS-A,98
,,PSC,Tri-Cities,Pasco,WA,PSC Main,31
,,PSE,Mercedita,Ponce,PR,Mercedita Airport,37
,,PVD,Rhode Island TF Green International,Warwick,RI,Checkpoint A,78
,,PWM,Portland International Jetport,Portland,ME,Terminal 2,96
,,RAP,Rapid City Regional,Rapid City,SD,1,3
,,RDM,Roberts Field,Redmond,OR,RDMZ,38
,,RDU,Raleigh-Durham International,RDU Airport,NC,Employee Screening Checkpoint (ESC),0
,,,,,,Terminal 1 Checkpoint,61
,,,,,,Terminal 2 Checkpoint,409
,,ROC,Frederick Douglass/Greater Rochester International,Rochester,NY,Checkpoint,49
,,RSW,Southwest Florida International,Fort Myers,FL,Checkpoint B Lower,36
,,SAN,San Diego International,San Diego,CA,CKPT-6,25
,,SAT,San Antonio International,San Antonio,TX,SAT01,380
,,,,,,SAT02,305
,,SAV,Savannah/Hilton Head International,Savannah,GA,SAV-A,53
,,SBA,Santa Barbara Municipal,Santa Barbara,CA,SBA01,40
,,SBN,South Bend International,South Bend,IN,A CONC,0
,,SBP,San Luis County Regional,San Luis Obispo,CA,SBP01,1
,,SDF,Louisville Muhammad Ali International,Louisville,KY,SDF-A,34
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,470
,,SFO,San Francisco International,San Francisco,CA,Security Checkpoint B,172
,,,,,,Security Checkpoint D,154
,,,,,,Security Checkpoint F-1,120
,,SGF,Springfield-Branson National,Springfield,MO,Main Checkpoint,0
,,SHR,Sheridan County,Sheridan,WY,SHR 01,2
,,SHV,Shreveport Regional,Shreveport,LA,Checkpoint SHV01,35
,,SJC,Norman Y Mineta San Jose International,San Jose,CA,Terminal A,0
,,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,SJTA,16
,,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint 5,80
,,,,,,Checkpoint BC,937
,,SLC,Salt Lake City International,Salt Lake City,UT,Main,413
,,SMF,Sacramento International,Sacramento,CA,Central B,119
,,,,,,Terminal A,90
,,STL,St Louis Lambert International,St Louis,MO,T1-C,157
,,,,,,T2-E,189
,,,,,,T2-F,30
,,SYR,Syracuse Hancock International,North Syracuse,NY,Central,63
,,TPA,Tampa International,Tampa,FL,TPA C,211
,,TUL,Tulsa International,Tulsa,OK,Central Checkpoint,154
,,TUS,Tucson International,Tucson,AZ,ACP,78
,,,,,,BCP,170
,,TVC,Cherry Capital,Traverse City,MI,TVC1,10
,04:00,ABE,Lehigh Valley International,Allentown,PA,ABE Main Terminal,98
,,ABQ,Albuquerque International Sunport,Albuquerque,NM,Checkpoint for A/B Gates,620
,,ACT,Waco Regional,Waco,TX,ACTA,64
,,ACV,California Redwood Coast-Humboldt County,McKinleyville,CA,ACV01,11
,,ACY,Atlantic City International,Pleasantville,NJ,Overflow Checkpoint,79
,,AEX,Alexandria International,Alexandria,LA,AEX01,25
,,AGS,Augusta Regional at Bush Field,Augusta,GA,AGS-1,122
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
7/30/2023,04:00,ALB,Albany International,Albany,NY,Main Checkpoint,651
,,AMA,Rick Husband Amarillo International,Amarillo,TX,AMA30,115
,,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,603
,,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,F Departure Checkpoint,57
,,,,,,Main Checkpoint,802
,,,,,,New T North Checkpoint,217
,,,,,,T South Checkpoint,508
,,ATW,Appleton International,Appleton,WI,Checkpoint,156
,,AUS,Austin-Bergstrom International,Austin,TX,AUS01,869
,,,,,,AUS02E,247
,,,,,,AUS02W,571
,,,,,,AUS03,262
,,AVL,Asheville Regional,Fletcher,NC,AVL-A,274
,,AVP,Wilkes-Barre/Scranton International,Avoca,PA,Checkpoint,114
,,BDL,Bradley International,Windsor Locks,CT,A1,782
,,,,,,A2,99
,,BFL,Meadows Field,Bakersfield,CA,BFL01,161
,,BGR,Bangor International,Bangor,ME,Checkpoint 2,288
,,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,Central,543
,,BIL,Billings Logan International,Billings,MT,BILM,176
,,BIS,Bismarck Municipal,Bismarck,ND,Checkpoint A,120
,,BLI,Bellingham International,Bellingham,WA,BLIZ,171
,,BMI,Central Illinois Regional/Bloomington-Normal,Bloomington,IL,Checkpoint A,11
,,BNA,Nashville International,Nashville,TN,BNA Central,"2,504"
,,BOI,Boise Air Terminal/Gowen Field,Boise,ID,BOI-Ckpt,547
,,BOS,General Edward Lawrence Logan International,East Boston,MA,A1,945
,,,,,,B1,769
,,,,,,B5,947
,,,,,,C2,"1,154"
,,,,,,E2,87
,,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,111
,,BRO,Brownsville/South Padre Island International,Brownsville,TX,BROA,88
,,BTR,"Baton Rouge Metropolitan, Ryan Field",Baton Rouge,LA,BTR01,76
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,186
,,BUF,Buffalo Niagara International,Cheektowaga,NY,Main Checkpoint,448
,,BWI,Baltimore/Washington International Thurgood Marshall,BWI Airport,MD,A Checkpoint,212
,,,,,,B Checkpoint,481
,,,,,,C Checkpoint,282
,,,,,,D/E Checkpoint,964
,,BZN,Bozeman Yellowstone International,Belgrade,MT,BZNZ,232
,,CAE,Columbia Metropolitan,West Columbia,SC,CAE-A,267
,,CAK,Akron-Canton Regional,North Canton,OH,Main,7
,,CHA,Lovell Field,Chattanooga,TN,CHA-A,110
,,CHO,Charlottesville-Albemarle,Charlottesville,VA,CHO - Checkpoint,138
,,CHS,Charleston AFB/International,Charleston,SC,Checkpoint,615
,,CID,The Eastern Iowa,Cedar Rapids,IA,CID Passenger,245
,,CLE,Cleveland-Hopkins International,Cleveland,OH,Central,229
,,,,,,North,357
,,,,,,South,596
,,CLL,Easterwood Field,College Station,TX,CLL01,61
,,CLT,Charlotte/Douglas International,Charlotte,NC,A Checkpoint,245
,,,,,,C Checkpoint,299
,,,,,,D Checkpoint,109
,,,,,,E Checkpoint,335
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
7/30/2023,04:00,CMH,John Glenn Columbus International,Columbus,OH,A,325
,,,,,,B,430
,,,,,,C,251
,,COS,City Of Colorado Springs Municipal,Colorado Springs,CO,COS Checkpoint,377
,,COU,Columbia Regional,Columbia,MO,Gate 1 Hold Area,82
,,CPR,Casper/Natrona County International,Casper,WY,CPR 01,47
,,CRP,Corpus Christi International,Corpus Christi,TX,CRP01,125
,,CRW,West Virginia International Yeager,Charleston,WV,CRW01,66
,,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,T3-MCP,"1,037"
,,CWA,Central Wisconsin,Mosinee,WI,Checkpoint,19
,,DAB,Daytona Beach International,Daytona Beach,FL,DAB A,114
,,DAL,Dallas Love Field,Dallas,TX,Checkpoint,880
,,DAY,James M Cox Dayton International,Dayton,OH,Main,139
,,DCA,Ronald Reagan Washington National,Arlington,VA,Concourse A,489
,,,,,,North Checkpoint,490
,,,,,,South Checkpoint,274
,,DEN,Denver International,Denver,CO,A Bridge,615
,,,,,,North,"1,376"
,,,,,,South,"2,239"
,,DFW,Dallas-Fort Worth International,DFW Airport,TX,A12,13
,,,,,,A21,279
,,,,,,A35,37
,,,,,,B30,33
,,,,,,B9,39
,,,,,,C10,72
,,,,,,C21,388
,,,,,,C30,62
,,,,,,D18,248
,,,,,,D30,145
,,,,,,E16,241
,,,,,,E18,365
,,,,,,E33,351
,,,,,,E8,534
,,DLH,Duluth International,Duluth,MN,Checkpoint 1,40
,,DRO,Durango-La Plata County,Durango,CO,Checkpoint,55
,,DSM,Des Moines International,Des Moines,IA,DSM Passenger (Alpha),452
,,DTW,Detroit Metropolitan Wayne County,Detroit,MI,Blue-1,509
,,,,,,Blue-2,522
,,,,,,Red 1,151
,,,,,,Red 2,76
,,,,,,Red 3,200
,,ECP,Northwest Florida Beaches International Airport,West Bay,FL,Checkpoint 1,146
