hourly_temp_2m,hourly_relative_humidity,hourly_precipitation,wind_speed_100,Airline_code
37.942,28.54677,0.,16.923828,GRK
29.65,66.10891,0.,21.129883,DAB
28.2,70.81664,0.,17.068707,DAB
27.5,73.322975,0.,20.172853,DAB
27.3,76.706154,0.,25.338476,DAB
26.45,82.612305,0.,23.667091,DAB
25.65,85.83431,0.,22.870626,DAB
25.1,88.41969,0.,21.434364,DAB
24.85,89.47666,0.,22.180206,DAB
24.55,90.545296,0.,23.042812,DAB
24.6,90.27489,0.,23.219301,DAB
24.65,91.101524,0.,22.039528,DAB
24.9,91.39277,0.,22.065973,DAB
27.3,89.125595,0.,22.26477,DAB
28.5,82.35984,0.,19.592731,DAB
29.45,75.66213,0.,18.532133,DAB
31.,66.18277,0.,22.565422,DAB
32.15,58.192276,0.,26.925497,DAB
33.15,53.03597,0.,28.757215,DAB
30.95,59.88713,1.5,32.791634,DAB
29.85,68.180336,0.1,16.263872,DAB
31.5,60.743557,0.,27.44749,DAB
30.65,63.374657,0.1,25.944988,DAB
29.9,67.57527,0.,26.87491,DAB
29.2,70.357956,0.,26.925497,DAB
29.130999,16.215849,0.,23.0653,CPR
28.230999,17.64638,0.,19.483284,CPR
26.581,23.456253,0.,17.015474,CPR
23.880999,33.223583,0.,22.657131,CPR
21.781,38.914318,0.,21.96,CPR
20.531,42.595436,0.,26.339111,CPR
19.431,47.82462,0.,22.963936,CPR
17.531,60.41522,0.,12.979984,CPR
15.881,67.31289,0.,8.161764,CPR
15.281,64.95973,0.,13.084402,CPR
15.031,66.68378,0.,9.72,CPR
13.731,72.041725,0.,11.384199,CPR
13.6310005,76.524704,0.,15.716793,CPR
15.3810005,65.20141,0.,14.84318,CPR
18.581,54.140945,0.,16.489416,CPR
22.431,44.60341,0.,11.298495,CPR
25.681,34.54037,0.,13.783817,CPR
28.281,24.830032,0.,17.339897,CPR
29.980999,20.282467,0.,19.602652,CPR
31.031,17.435312,0.,18.581022,CPR
31.480999,14.742786,0.,15.408671,CPR
32.981003,12.787321,0.,15.7908325,CPR
33.131,11.837215,0.,23.664352,CPR
32.381,12.52854,0.,31.079075,CPR
32.376,59.131172,0.,34.06521,MFE
31.226,64.65573,0.,32.886345,MFE
29.925999,70.27948,0.,32.59939,MFE
28.976,76.728584,0.,29.03752,MFE
28.476,81.62428,0.,31.093666,MFE
28.026,86.32053,0.,30.0767,MFE
27.726,89.95381,0.,31.470673,MFE
27.776,89.95737,0.,35.455887,MFE
27.626,89.415146,0.,34.56187,MFE
27.425999,89.40032,0.,32.35997,MFE
27.175999,89.91491,0.,28.883131,MFE
27.026,90.17216,0.,26.903828,MFE
26.876,91.51317,0.,24.014996,MFE
28.126,84.3018,0.,25.6233,MFE
29.526,77.27032,0.,24.633049,MFE
31.075998,69.86205,0.,23.893261,MFE
32.676003,61.926937,0.,25.277025,MFE
34.176003,55.58439,0.,24.696104,MFE
35.276,51.35656,0.,24.766848,MFE
36.176003,47.706566,0.,25.076267,MFE
36.626,45.568882,0.,28.28464,MFE
36.176003,46.991253,0.,30.319178,MFE
35.426003,49.270596,0.,29.522196,MFE
34.776,50.005634,0.,30.096085,MFE
26.268002,46.860798,0.,34.3833,DLH
23.818,53.529713,0.,27.038372,DLH
23.168001,49.16351,0.,34.862427,DLH
22.118,52.91833,0.,33.29173,DLH
21.818,56.061394,0.,36.890778,DLH
21.518002,57.474167,0.,37.67637,DLH
21.468,56.158127,0.,38.197342,DLH
21.118,57.564793,0.,33.857227,DLH
20.468,60.11099,0.,31.845247,DLH
19.818,62.57656,0.,30.05515,DLH
18.568,69.43984,0.,26.124195,DLH
16.818,84.38024,0.,27.381306,DLH
16.518002,87.688255,0.,31.559086,DLH
16.568,69.967766,0.,25.862436,DLH
17.468,57.42942,0.,20.620804,DLH
18.168001,47.313503,0.,18.584509,DLH
18.818,42.84305,0.,16.299694,DLH
19.268002,41.946205,0.,14.973577,DLH
19.818,40.81795,0.,16.520823,DLH
19.818,37.55925,0.,25.045238,DLH
20.318,41.95654,0.,23.143827,DLH
21.018002,38.829525,0.,29.144438,DLH
19.618,45.339577,0.,31.25372,DLH
19.118,52.48587,0.,29.96662,DLH
24.6635,45.97037,0.,27.09822,CWA
23.213501,49.175697,0.,27.047956,CWA
21.9135,51.487335,0.,27.475807,CWA
21.063501,54.95888,0.,27.971327,CWA
20.213501,59.071007,0.,29.836594,CWA
19.8635,61.770557,0.,31.205997,CWA
19.6135,62.942356,0.,31.608328,CWA
19.313501,63.49825,0.,31.89608,CWA
18.9135,64.88759,0.,30.96837,CWA
18.563501,65.887886,0.,31.353085,CWA
18.213501,67.127884,0.,31.76375,CWA
18.0135,68.65079,0.,32.112724,CWA
19.1135,72.31137,0.,29.460672,CWA
20.4135,70.249535,0.,22.66857,CWA
21.8635,66.36739,0.,23.708124,CWA
23.063501,63.91201,0.,24.66197,CWA
